FORKS,TIME
1,0.692894
2,0.912643
3,0.852781
4,1.22923
5,1.26626
6,1.43975
7,1.53473
8,1.74377
9,1.8493
10,2.01193
11,1.96468
12,2.17825
13,3.52531
14,2.76945
15,2.35763
16,2.43706
17,2.58014
18,2.65366
19,4.73386
20,3.51324
21,3.42997
22,3.26139
23,4.86665
24,4.33047
25,3.97416
26,3.85254
27,5.63603
28,4.97654
29,4.46379
30,5.52899
31,5.60961
32,4.71497
33,5.89847
34,5.90085
35,5.3038
36,6.23352
37,6.4724
38,5.76769
39,7.34687
40,6.10669
41,6.55909
42,6.96362
43,6.39839
44,7.7545
45,6.43336
46,7.69649
47,7.63343
48,7.52562
49,8.81524
50,7.98313
51,8.7309
52,9.65808
53,8.27977
54,9.00034
55,8.38331
56,9.53211
57,8.02833
58,9.75066
59,8.55222
60,10.5399
61,9.41217
62,10.0078
63,10.5443
64,9.70258
65,10.5797
66,10.4558
67,9.63909
68,11.4419
69,10.4947
70,11.6054
71,12.2287
72,12.2441
73,10.67
74,12.746
75,12.9176
76,12.0757
77,11.6128
78,13.1721
79,13.0433
80,13.0291
